FoodCode,Desc,kcal_per_100g,guarded_score_per_100kcal,tags,consensus_score
58304230,"Ravioli, cheese-filled, with vegetable and fruit (frozen meal)",103.0,-7.400026439825191,uncategorized,0.22527389491350683
58302060,"Spaghetti or noodles with beef in tomato-based sauce, lowfat, reduced sodium (diet frozen meal)",90.0,-7.860437953353045,uncategorized,0.1993352544150371
58301080,"Lasagna with cheese and meat sauce, reduced fat and sodium (diet frozen meal)",116.0,-9.395818345442311,uncategorized,0.11283507175530506
61119100,Orange peel,47.0,-17.850813642534174,uncategorized,-0.3635020244807789
62101150,"Apple, dried, uncooked, low sodium",243.0,-4.653649522197188,uncategorized,0.37999913841100375
61213620,"Tangerine juice, frozen (reconstituted with water)",43.0,-6.7490071779037955,uncategorized,0.2619509850739305
61213000,"Tangerine juice, NFS",50.0,-6.176773491985482,uncategorized,0.2941894574492557
61207600,"Lime juice, frozen",25.0,-10.546421642310383,uncategorized,0.04801244157142841
61204600,"Lemon juice, frozen",22.0,-7.680920542953309,uncategorized,0.2094488971775639
58151120,"Sushi, with vegetables, no seafood (no fish or shellfish)",87.0,-4.229688354360083,uncategorized,0.4038842411825981
58151160,"Sushi, with egg, no vegetables, no seafood (no fish or shellfish), rolled in seaweed",126.0,-8.286234830234323,seaweed_algae,0.17534673156041372
58151150,"Sushi, with seafood, no vegetables",109.0,-10.25961612335948,uncategorized,0.06417047635218648
58151140,"Sushi, with vegetables, rolled in seaweed",87.0,-4.229688354360083,seaweed_algae,0.4038842411825981
58151130,"Sushi, with vegetables and seafood",96.0,-7.79392735285945,uncategorized,0.2030823252524312
58151110,"Sushi, no vegetables, no seafood (no fish or shellfish)",95.0,-3.1288904349619515,uncategorized,0.46590093853654957
71050000,"White potato, dry, powdered, not reconstituted",354.0,-6.9301609092042655,uncategorized,0.25174515534748726
71201300,"Potato based snacks, reduced fat, low sodium, all flavors",464.0,-5.728005518048488,uncategorized,0.3194721248047803
67203450,"Apple-cranberry juice, baby food",46.0,-4.662096749458597,uncategorized,0.379523238949968
71941130,"Sweet potatoes, white, Puerto Rican, roasted or baked",143.0,-5.509988394204691,uncategorized,0.33175476247073105
71941120,"Sweet potatoes, white, Puerto Rican, boiled",116.0,-6.845946484295146,uncategorized,0.25648962334691944
